#TYPE Selected.Microsoft.Management.Infrastructure.CimInstance,
ResourceId,InDesiredState
[AccountPolicy]1.1.2 - (L1) Ensure Maximum password age is set to 60 or fewer days but not 0::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks,FALSE
[AccountPolicy]1.2.2 - (L1) Ensure Account lockout threshold is set to 10 or fewer invalid logon attempt(s) but not 0::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks,FALSE
[UserRightsAssignment]2.2.21 - (L1) Ensure Deny access to this computer from the network to include Guests Local account and member of Administrators group (MS only)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks,FALSE
[UserRightsAssignment]2.2.26 - (L1) Ensure Deny log on through Remote Desktop Services is set to Guests Local account (MS only)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks,FALSE
[SecurityOption]2.3.1.1 - (L1) Ensure Accounts Administrator account status is set to Disabled (MS only)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks,FALSE
[SecurityOption]2.3.1.5 - (L1) Configure Accounts Rename administrator account::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks,FALSE
[SecurityOption]2.3.1.6 - (L1) Configure Accounts Rename guest account::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks,FALSE
[Registry]2.3.7.4 - (L1) Configure Interactive logon Message text for users attempting to log on::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks,FALSE
[Registry]2.3.7.5 - (L1) Configure Interactive logon Message title for users attempting to log on::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks,FALSE
[Registry]9.3.5 - (L1) Ensure Windows Firewall Public Settings Apply local firewall rules is set to No::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks,FALSE
[Registry]9.3.6 - (L1) Ensure Windows Firewall Public Settings Apply local connection security rules is set to No::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks,FALSE
